decision_id,scenario_id,event_id,event_timestamp,review_started_at,decision_recorded_at,recommended_state,authorized_state,human_authorization_required,identity_matching_method,identity_confidence,conflict_identified,conflict_ids,clock_safeguard_noted,rationale,analyst_confidence,completion_status,notes
DEC-ghost_logger-EVT-GL-002H,ghost_logger,EVT-GL-002H,2026-09-12T10:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-ghost_logger-EVT-GL-010H,ghost_logger,EVT-GL-010H,2026-09-12T18:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-ghost_logger-EVT-GL-014H,ghost_logger,EVT-GL-014H,2026-09-12T22:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-ghost_logger-EVT-GL-020H,ghost_logger,EVT-GL-020H,2026-09-13T04:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-ghost_logger-EVT-GL-072H,ghost_logger,EVT-GL-072H,2026-09-15T08:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-false_comfort-EVT-FC-002H,false_comfort,EVT-FC-002H,2026-10-01T10:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-false_comfort-EVT-FC-008H,false_comfort,EVT-FC-008H,2026-10-01T16:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-false_comfort-EVT-FC-012H,false_comfort,EVT-FC-012H,2026-10-01T20:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-false_comfort-EVT-FC-072H,false_comfort,EVT-FC-072H,2026-10-04T08:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-false_comfort_control-EVT-FCC-002H,false_comfort_control,EVT-FCC-002H,2026-10-01T10:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-operational_outlier-EVT-OO-002H,operational_outlier,EVT-OO-002H,2026-11-01T10:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-operational_outlier-EVT-OO-006H,operational_outlier,EVT-OO-006H,2026-11-01T14:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-operational_outlier-EVT-OO-012H,operational_outlier,EVT-OO-012H,2026-11-01T20:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-operational_outlier-EVT-OO-072H,operational_outlier,EVT-OO-072H,2026-11-04T08:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-operational_outlier_control-EVT-OOC-002H,operational_outlier_control,EVT-OOC-002H,2026-11-01T10:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-operational_outlier_control-EVT-OOC-006H,operational_outlier_control,EVT-OOC-006H,2026-11-01T14:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot-EVT-RP-002H,rapid_pivot,EVT-RP-002H,2026-12-01T10:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot-EVT-RP-012H,rapid_pivot,EVT-RP-012H,2026-12-01T20:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot-EVT-RP-018H,rapid_pivot,EVT-RP-018H,2026-12-02T02:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot-EVT-RP-020H,rapid_pivot,EVT-RP-020H,2026-12-02T04:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot-EVT-RP-022H,rapid_pivot,EVT-RP-022H,2026-12-02T06:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot-EVT-RP-072H,rapid_pivot,EVT-RP-072H,2026-12-04T08:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot_control-EVT-RPC-002H,rapid_pivot_control,EVT-RPC-002H,2026-12-01T10:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot_control-EVT-RPC-012H,rapid_pivot_control,EVT-RPC-012H,2026-12-01T20:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot_control-EVT-RPC-018H,rapid_pivot_control,EVT-RPC-018H,2026-12-02T02:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot_control-EVT-RPC-020H,rapid_pivot_control,EVT-RPC-020H,2026-12-02T04:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot_control-EVT-RPC-022H,rapid_pivot_control,EVT-RPC-022H,2026-12-02T06:00:00Z,,,,,,,,,,,,,NOT_STARTED,
DEC-rapid_pivot_control-EVT-RPC-072H,rapid_pivot_control,EVT-RPC-072H,2026-12-04T08:00:00Z,,,,,,,,,,,,,NOT_STARTED,
