observation_id,scenario_id,event_id,proposition,value,source_artifact_id,source_uri,source_hash,source_timestamp,confidence,observation_status,notes
OBS-ghost_logger-EVT-GL-002H-product_id,ghost_logger,EVT-GL-002H,product_id,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-product_version,ghost_logger,EVT-GL-002H,product_version,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-product_purl,ghost_logger,EVT-GL-002H,product_purl,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-sbom_reference,ghost_logger,EVT-GL-002H,sbom_reference,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-primary_identifier,ghost_logger,EVT-GL-002H,primary_identifier,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-matching_method,ghost_logger,EVT-GL-002H,matching_method,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-identity_confidence,ghost_logger,EVT-GL-002H,identity_confidence,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-cve_id,ghost_logger,EVT-GL-002H,cve_id,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-cisa_kev_status,ghost_logger,EVT-GL-002H,cisa_kev_status,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-epss_percentile,ghost_logger,EVT-GL-002H,epss_percentile,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-csaf_vex_status,ghost_logger,EVT-GL-002H,csaf_vex_status,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-csaf_reference,ghost_logger,EVT-GL-002H,csaf_reference,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-execution_observed,ghost_logger,EVT-GL-002H,execution_observed,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-reachability_confirmed,ghost_logger,EVT-GL-002H,reachability_confirmed,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-telemetry_reference,ghost_logger,EVT-GL-002H,telemetry_reference,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-asset_criticality,ghost_logger,EVT-GL-002H,asset_criticality,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-deployment_scope,ghost_logger,EVT-GL-002H,deployment_scope,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-002H-mitigation_status,ghost_logger,EVT-GL-002H,mitigation_status,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-product_id,ghost_logger,EVT-GL-010H,product_id,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-product_version,ghost_logger,EVT-GL-010H,product_version,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-product_purl,ghost_logger,EVT-GL-010H,product_purl,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-sbom_reference,ghost_logger,EVT-GL-010H,sbom_reference,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-primary_identifier,ghost_logger,EVT-GL-010H,primary_identifier,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-matching_method,ghost_logger,EVT-GL-010H,matching_method,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-identity_confidence,ghost_logger,EVT-GL-010H,identity_confidence,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-cve_id,ghost_logger,EVT-GL-010H,cve_id,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-cisa_kev_status,ghost_logger,EVT-GL-010H,cisa_kev_status,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-epss_percentile,ghost_logger,EVT-GL-010H,epss_percentile,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-csaf_vex_status,ghost_logger,EVT-GL-010H,csaf_vex_status,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-csaf_reference,ghost_logger,EVT-GL-010H,csaf_reference,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-execution_observed,ghost_logger,EVT-GL-010H,execution_observed,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-reachability_confirmed,ghost_logger,EVT-GL-010H,reachability_confirmed,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-telemetry_reference,ghost_logger,EVT-GL-010H,telemetry_reference,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-asset_criticality,ghost_logger,EVT-GL-010H,asset_criticality,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-deployment_scope,ghost_logger,EVT-GL-010H,deployment_scope,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-010H-mitigation_status,ghost_logger,EVT-GL-010H,mitigation_status,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-product_id,ghost_logger,EVT-GL-014H,product_id,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-product_version,ghost_logger,EVT-GL-014H,product_version,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-product_purl,ghost_logger,EVT-GL-014H,product_purl,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-sbom_reference,ghost_logger,EVT-GL-014H,sbom_reference,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-primary_identifier,ghost_logger,EVT-GL-014H,primary_identifier,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-matching_method,ghost_logger,EVT-GL-014H,matching_method,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-identity_confidence,ghost_logger,EVT-GL-014H,identity_confidence,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-cve_id,ghost_logger,EVT-GL-014H,cve_id,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-cisa_kev_status,ghost_logger,EVT-GL-014H,cisa_kev_status,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-epss_percentile,ghost_logger,EVT-GL-014H,epss_percentile,,,,,,,NOT_REVIEWED,
OBS-ghost_logger-EVT-GL-014H-csaf_vex_status,ghost_logger,EVT-GL-014H,csaf_vex_status,,,,,,,NOT_REVIEWED,
