scenario_id,event_id,evidence_released_at,review_started_at,decision_recorded_at,elapsed_minutes,notes
ghost_logger,EVT-GL-002H,2026-09-12T10:00:00Z,,,,
ghost_logger,EVT-GL-010H,2026-09-12T18:00:00Z,,,,
ghost_logger,EVT-GL-014H,2026-09-12T22:00:00Z,,,,
ghost_logger,EVT-GL-020H,2026-09-13T04:00:00Z,,,,
ghost_logger,EVT-GL-072H,2026-09-15T08:00:00Z,,,,
false_comfort,EVT-FC-002H,2026-10-01T10:00:00Z,,,,
false_comfort,EVT-FC-008H,2026-10-01T16:00:00Z,,,,
false_comfort,EVT-FC-012H,2026-10-01T20:00:00Z,,,,
false_comfort,EVT-FC-072H,2026-10-04T08:00:00Z,,,,
false_comfort_control,EVT-FCC-002H,2026-10-01T10:00:00Z,,,,
operational_outlier,EVT-OO-002H,2026-11-01T10:00:00Z,,,,
operational_outlier,EVT-OO-006H,2026-11-01T14:00:00Z,,,,
operational_outlier,EVT-OO-012H,2026-11-01T20:00:00Z,,,,
operational_outlier,EVT-OO-072H,2026-11-04T08:00:00Z,,,,
operational_outlier_control,EVT-OOC-002H,2026-11-01T10:00:00Z,,,,
operational_outlier_control,EVT-OOC-006H,2026-11-01T14:00:00Z,,,,
rapid_pivot,EVT-RP-002H,2026-12-01T10:00:00Z,,,,
rapid_pivot,EVT-RP-012H,2026-12-01T20:00:00Z,,,,
rapid_pivot,EVT-RP-018H,2026-12-02T02:00:00Z,,,,
rapid_pivot,EVT-RP-020H,2026-12-02T04:00:00Z,,,,
rapid_pivot,EVT-RP-022H,2026-12-02T06:00:00Z,,,,
rapid_pivot,EVT-RP-072H,2026-12-04T08:00:00Z,,,,
rapid_pivot_control,EVT-RPC-002H,2026-12-01T10:00:00Z,,,,
rapid_pivot_control,EVT-RPC-012H,2026-12-01T20:00:00Z,,,,
rapid_pivot_control,EVT-RPC-018H,2026-12-02T02:00:00Z,,,,
rapid_pivot_control,EVT-RPC-020H,2026-12-02T04:00:00Z,,,,
rapid_pivot_control,EVT-RPC-022H,2026-12-02T06:00:00Z,,,,
rapid_pivot_control,EVT-RPC-072H,2026-12-04T08:00:00Z,,,,
