run_id,git_commit,scenario_id,scenario_version,run_type,evaluation_status,environment_id,input_manifest_hash,output_manifest_hash,started_at,completed_at,status,notes
GL-STAGE2-PILOT-001,not_recorded_export_build,ghost_logger,stage2-v0.1,BASE,PILOT,stage2-local-build,bef55830bb759fb87c47556fdd9f891db981d37ac7e40d975d5e33a780d0b6dc,5a416c70c6d9b9d0de2f541214b483fbd8451b898af43247cdb1fa767359e5b2,2026-07-19T00:00:00Z,2026-07-19T00:00:00Z,PASS,Pilot only; rerun after GitHub commit and Colab checkpoint before citing results.
GL-STAGE2-0-1-PILOT-001,not_recorded_corrective_export_build,ghost_logger,stage2-v0.1,CORRECTIVE_BASE,PILOT-CORRECTED,stage2-0-1-local-build,bef55830bb759fb87c47556fdd9f891db981d37ac7e40d975d5e33a780d0b6dc,4830f0c8a7697ca1452b3a5f38c1e8022b4af5769ab292097a8cbc5f4ad2e9e4,2026-07-19T16:31:21Z,2026-07-19T16:31:21Z,PASS,Conflict lifecycle corrected; rerun after GitHub commit and Colab checkpoint before citing results.
FC-STAGE3-PILOT-001,not_recorded_stage3_export_build,false_comfort,stage3-v0.1,SCOPE_MISMATCH,PILOT,stage3-local-build,7d5afe1b3852c69d25791dfe0a8182805f80658d808453cced970d6517492236,f4f5d08ba88f149d1296c20144494884f2379a9b4f11c9f9d4c4102e96218283,2026-07-19T18:00:00Z,2026-07-19T18:00:00Z,PASS,Wrongly scoped supplier assurance pilot; requires tagged GitHub and Colab rerun before manuscript use.
FCC-STAGE3-PILOT-001,not_recorded_stage3_export_build,false_comfort_control,stage3-v0.1,NEGATIVE_CONTROL,PILOT_NEGATIVE_CONTROL,stage3-local-build,496e4a4cc0eb05ab981e62e1ff2169050661fa7304ff5fa243eeb65d6258408c,d92fc6402548bd5a6d5c9866d818bf146595c5a78583d69be613ea959d830893,2026-07-19T18:00:00Z,2026-07-19T18:00:00Z,PASS,Scope-matched negative control; requires tagged GitHub and Colab rerun before manuscript use.
OO-STAGE4-PILOT-001,not_recorded_stage4_export_build,operational_outlier,stage4-v0.1,OPERATIONAL_IMPACT,PILOT,stage4-local-build,1650f4ab61f7dc1f79fcd982cd685b682045c35c8a6e77167d6144088211fa08,8b0881dd05693f6e9402a8d23cf4caf7aec6680b5b4cca7851898168e48e3782,2026-07-20T00:00:00Z,2026-07-20T00:00:00Z,PASS,"Controlled counterfactual Stage 4 pilot; exact non-asset source bytes, deployment identity, timestamps, and deadline profile are matched. Requires tagged GitHub and preserved Colab checkpoint before manuscript use."
OOC-STAGE4-PILOT-001,not_recorded_stage4_export_build,operational_outlier_control,stage4-v0.1,NEGATIVE_CONTROL,PILOT_NEGATIVE_CONTROL,stage4-local-build,5c56c371335421f5a64d7fd72794e2ff0181ecb6b1b60b2164af1642c13fae6e,05063e165e2ded432f1ff30f918e9f944cbdd5883d56153b2bd6ba686df96ac3,2026-07-20T00:00:00Z,2026-07-20T00:00:00Z,PASS,"Controlled counterfactual Stage 4 pilot; exact non-asset source bytes, deployment identity, timestamps, and deadline profile are matched. Requires tagged GitHub and preserved Colab checkpoint before manuscript use."
RP-STAGE5-PILOT-001,not_recorded_stage5_export_build,rapid_pivot,stage5-v0.1,CLOCK_AWARE_ESCALATION,PILOT,stage5-local-build,814b42454c1633fcb18de3e028c5df0ae437fc30018a42226ef97841f2f53e9f,dcc4dccb458cd41fd8d7fb9e9f0fe3159d9b564605005c4de2faa16d3ce5d00b,2026-07-20T00:00:00Z,2026-07-20T00:00:00Z,PASS,Controlled Rapid Pivot pilot; one eligible Prepare-at-18h opportunity produces one Escalate transition. Requires tagged GitHub and preserved Colab checkpoint before manuscript use.
RPC-STAGE5-PILOT-001,not_recorded_stage5_export_build,rapid_pivot_control,stage5-v0.1,TEMPORAL_CONTROL,PILOT_NEGATIVE_CONTROL,stage5-local-build,814b42454c1633fcb18de3e028c5df0ae437fc30018a42226ef97841f2f53e9f,0076764ddd98a319c4901630808a95b62f7abbe98998616421c935ecbf082c1b,2026-07-20T00:00:00Z,2026-07-20T00:00:00Z,PASS,Byte-identical source catalog and matched event clock; resolving evidence released before tau_E. Requires tagged GitHub and preserved Colab checkpoint before manuscript use.
HIST-CVE-2024-3400-PUBLIC-PILOT-001,not_recorded_stage55_export_build,cve_2024_3400_public,stage5.5-v0.1,HISTORICAL_PUBLIC_REPLAY,PILOT_PROVISIONAL,stage5.5-local-build,c7af2cf972a244cf17bd151f84465bdbe58ade6ea55d95c6d8a7266f806d5ab1,1b0c44baa8f16070ea8326c4645bb4121590cab06afbb7c746e540d579550f1b,2026-07-20T00:00:00Z,2026-07-20T00:00:00Z,PASS,Public-only replay; no EvidencePack. Provisional EPSS blocks frozen evaluation and manuscript use.
HIST-CVE-2024-3400-REF-PILOT-001,not_recorded_stage55_export_build,historical_cve_2024_3400_reference,stage5.5-v0.1,HISTORICAL_REFERENCE_DEPLOYMENT,PILOT_PROVISIONAL,stage5.5-local-build,e191d3ff639dd8b9020c4fe79c8b528c44a27fb84a44674eaa8d395728229c3d,e733ed59d30a1f08761c219f011f734beed91a69eee90dcf277dfe8cad5f6997,2026-07-20T00:00:00Z,2026-07-20T00:00:00Z,PASS,Public chronology plus explicitly synthetic deployment evidence; not a real incident case study.
HIST-CVE-2024-3400-PUBLIC-STAGE551-CANDIDATE-001,not_recorded_stage551_export_build,cve_2024_3400_public,stage5.5.1-v0.1,HISTORICAL_PUBLIC_REPLAY,PILOT_VERIFICATION_CANDIDATE,stage5.5.1-local-build,b372e031f9282135386d9a40ffd1359a31182375ac803da03f582ecc02e03934,b585c87bf3b3972c1b154d223d5ddc484ba5d5234f7820ecaaf462f62a69404b,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,FAIL,Rejected by authoritative online gate: prefilled normalized EPSS and percentile disagreed with both FIRST API and pinned archive; superseded by Stage 5.5.2 corrected candidate.
HIST-CVE-2024-3400-REF-STAGE551-CANDIDATE-001,not_recorded_stage551_export_build,historical_cve_2024_3400_reference,stage5.5.1-v0.1,HISTORICAL_REFERENCE_DEPLOYMENT,PILOT_VERIFICATION_CANDIDATE,stage5.5.1-local-build,ac815f26074c4dee6acf9a21c4dc8f4639f332d270f3e9b9a78fe68dcd94257c,2dbe28fae1f81121169bc542fcf00dd5634aea715bc3ff0ea50b6bdad4cc1acb,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,FAIL,Rejected by authoritative online gate: prefilled normalized EPSS and percentile disagreed with both FIRST API and pinned archive; superseded by Stage 5.5.2 corrected candidate.
HIST-CVE-2024-3400-PUBLIC-STAGE552-CORRECTED-CANDIDATE-001,not_recorded_stage552_export_build,cve_2024_3400_public,stage5.5.2-v0.1,HISTORICAL_PUBLIC_REPLAY_CORRECTED,PILOT_VERIFICATION_CANDIDATE,stage5.5.2-local-build,17f2516e4417794cbcd7471a13273d0843896f257c5c8b2eced19b8c68c29e5b,03bb5b58a0ef7419f1e08657b6e25e87318a322c6ef449cdbb0118c5e20e02eb,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,PASS,Corrected normalized historical EPSS candidate; Stage 5.5.1 online failure preserved as development history; requires new GitHub and Colab online gates.
HIST-CVE-2024-3400-REF-STAGE552-CORRECTED-CANDIDATE-001,not_recorded_stage552_export_build,historical_cve_2024_3400_reference,stage5.5.2-v0.1,HISTORICAL_REFERENCE_DEPLOYMENT_CORRECTED,PILOT_VERIFICATION_CANDIDATE,stage5.5.2-local-build,de478033743d869f94add2443401d05416806404d87706cab5b71f06adb6cb5e,df2534a563db12cfa3a00de40150d4ca6737645842d6f3c9b3496605365f500b,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,PASS,Synthetic reference replay regenerated with corrected normalized EPSS; ablation continues to show no state dependence on EPSS.
