mutant_id,family,target_file,target_symbol,baseline_outcome,strengthened_outcome,baseline_returncode,strengthened_returncode,strengthening_required,final_disposition
S63-AU-001,authorization,src/sbom_to_audit/model/authorization.py,HumanAuthorizationEvent.__post_init__,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-AU-002,authorization,src/sbom_to_audit/model/authorization.py,apply_human_authorization,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-AU-003,authorization,src/sbom_to_audit/model/authorization.py,authorization_audit_event,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-AU-004,authorization,src/sbom_to_audit/model/authorization.py,MilestoneSatisfactionEvidence.__post_init__,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-CF-001,conflict,src/sbom_to_audit/model/conflict_engine.py,ACTIVE_CLAIM_STATUSES,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-CF-002,conflict,src/sbom_to_audit/model/conflict_engine.py,detect_conflicts,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-CF-003,conflict,src/sbom_to_audit/model/conflict_engine.py,detect_conflicts,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-CF-004,conflict,src/sbom_to_audit/model/conflict_engine.py,detect_conflicts,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-ES-001,evidence_semantics,src/sbom_to_audit/model/scoring.py,exploitation_score,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-ES-002,evidence_semantics,src/sbom_to_audit/model/scoring.py,uncertainty_score,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-ES-003,evidence_semantics,src/sbom_to_audit/model/scoring.py,applicability_score,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-ID-001,identity_uncertainty,src/sbom_to_audit/model/identity.py,MATCH_CONFIDENCE,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-ID-002,identity_uncertainty,src/sbom_to_audit/model/identity.py,apply_identity_uncertainty,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-ID-003,identity_uncertainty,src/sbom_to_audit/model/identity.py,apply_identity_uncertainty,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-MT-001,metrics,src/sbom_to_audit/model/metrics.py,evidence_completeness,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-MT-002,metrics,src/sbom_to_audit/model/metrics.py,audit_reconstructability,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-MT-003,metrics,src/sbom_to_audit/model/metrics.py,evidence_pack_generation,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-TD-001,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-TD-002,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-TD-003,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-TD-004,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-TD-005,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,SURVIVED,KILLED,0,1,True,KILLED_AFTER_TARGETED_TEST_STRENGTHENING
S63-TR-001,traceability_integrity,src/sbom_to_audit/model/metrics.py,claim_traceable,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-TR-002,traceability_integrity,src/sbom_to_audit/model/scoring.py,_claim_traceable,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-TR-003,traceability_integrity,src/sbom_to_audit/ingestion/source_registry.py,SourceRegistry.register,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
S63-TR-004,traceability_integrity,src/sbom_to_audit/ingestion/source_registry.py,SourceRegistry.register,KILLED,KILLED,1,1,False,KILLED_BY_PRE_STAGE6_3_TESTS
