workload_id,axis,scale_value,execution_index,trial,wall_ms,cpu_ms
S64-REPLAY-EVENTS-00005,replay_events,5,12,1,7.842306,7.804134
S64-REPLAY-EVENTS-00005,replay_events,5,12,2,8.295117,8.25748
S64-REPLAY-EVENTS-00005,replay_events,5,12,3,7.808056,7.772712
S64-REPLAY-EVENTS-00005,replay_events,5,12,4,7.944766,7.908812
S64-REPLAY-EVENTS-00005,replay_events,5,12,5,8.012238,7.97558
S64-REPLAY-EVENTS-00005,replay_events,5,12,6,8.026033,7.98985
S64-REPLAY-EVENTS-00005,replay_events,5,12,7,7.699857,7.664968
S64-REPLAY-EVENTS-00005,replay_events,5,12,8,8.813645,8.773009
S64-REPLAY-EVENTS-00005,replay_events,5,12,9,7.828723,7.793286
S64-REPLAY-EVENTS-00005,replay_events,5,12,10,8.112268,8.075353
S64-REPLAY-EVENTS-00010,replay_events,10,15,1,12.063114,11.987581
S64-REPLAY-EVENTS-00010,replay_events,10,15,2,12.264026,12.189338
S64-REPLAY-EVENTS-00010,replay_events,10,15,3,12.291179,12.216442
S64-REPLAY-EVENTS-00010,replay_events,10,15,4,12.235959,12.161505
S64-REPLAY-EVENTS-00010,replay_events,10,15,5,11.302799,11.233999
S64-REPLAY-EVENTS-00010,replay_events,10,15,6,11.348544,11.279767
S64-REPLAY-EVENTS-00010,replay_events,10,15,7,12.23295,12.158457
S64-REPLAY-EVENTS-00010,replay_events,10,15,8,12.519916,12.443297
S64-REPLAY-EVENTS-00010,replay_events,10,15,9,11.539188,11.469017
S64-REPLAY-EVENTS-00010,replay_events,10,15,10,12.330858,12.255973
S64-REPLAY-EVENTS-00025,replay_events,25,10,1,21.878506,21.794142
S64-REPLAY-EVENTS-00025,replay_events,25,10,2,22.392438,22.307889
S64-REPLAY-EVENTS-00025,replay_events,25,10,3,21.790511,21.708795
S64-REPLAY-EVENTS-00025,replay_events,25,10,4,21.524496,21.443612
S64-REPLAY-EVENTS-00025,replay_events,25,10,5,20.597175,20.519972
S64-REPLAY-EVENTS-00025,replay_events,25,10,6,21.051089,20.971974
S64-REPLAY-EVENTS-00025,replay_events,25,10,7,21.823462,21.740805
S64-REPLAY-EVENTS-00025,replay_events,25,10,8,21.676301,21.594703
S64-REPLAY-EVENTS-00025,replay_events,25,10,9,21.10842,21.029054
S64-REPLAY-EVENTS-00025,replay_events,25,10,10,21.657422,21.576153
S64-REPLAY-EVENTS-00050,replay_events,50,11,1,38.366889,38.217446
S64-REPLAY-EVENTS-00050,replay_events,50,11,2,37.415805,37.26696
S64-REPLAY-EVENTS-00050,replay_events,50,11,3,36.95489,36.812368
S64-REPLAY-EVENTS-00050,replay_events,50,11,4,36.992018,36.850231
S64-REPLAY-EVENTS-00050,replay_events,50,11,5,38.405983,38.258717
S64-REPLAY-EVENTS-00050,replay_events,50,11,6,39.037373,38.887104
S64-REPLAY-EVENTS-00050,replay_events,50,11,7,40.650589,40.48591
S64-REPLAY-EVENTS-00050,replay_events,50,11,8,38.267219,38.120465
S64-REPLAY-EVENTS-00050,replay_events,50,11,9,37.752406,37.588332
S64-REPLAY-EVENTS-00050,replay_events,50,11,10,39.107579,38.93559
S64-REPLAY-EVENTS-00100,replay_events,100,16,1,69.816875,69.363053
S64-REPLAY-EVENTS-00100,replay_events,100,16,2,72.807722,72.351787
S64-REPLAY-EVENTS-00100,replay_events,100,16,3,72.410791,71.945325
S64-REPLAY-EVENTS-00100,replay_events,100,16,4,69.715301,69.278385
S64-REPLAY-EVENTS-00100,replay_events,100,16,5,74.113384,73.648703
S64-REPLAY-EVENTS-00100,replay_events,100,16,6,73.288947,72.818683
S64-REPLAY-EVENTS-00100,replay_events,100,16,7,75.089451,74.618678
S64-REPLAY-EVENTS-00100,replay_events,100,16,8,73.754715,73.275729
S64-REPLAY-EVENTS-00100,replay_events,100,16,9,72.158517,71.70667
S64-REPLAY-EVENTS-00100,replay_events,100,16,10,74.07018,73.5893
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,1,11.47946,8.346278
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,2,8.324872,8.327694
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,3,8.018429,8.021197
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,4,9.214885,9.218422
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,5,8.052497,8.055193
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,6,8.031547,8.034497
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,7,8.535894,8.539096
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,8,8.802375,8.805737
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,9,10.653478,10.658006
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,10,8.325671,8.328472
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,1,9.056185,9.024903
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,2,8.80992,8.781677
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,3,8.555097,8.527177
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,4,9.455191,9.42495
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,5,8.474687,8.447097
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,6,8.397819,8.370786
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,7,8.37451,8.347721
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,8,8.984116,8.955158
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,9,8.264087,8.237548
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,10,9.017122,8.988286
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,1,13.830271,13.804861
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,2,13.433378,13.41154
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,3,19.360955,19.329678
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,4,14.286716,14.262732
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,5,13.428798,13.406875
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,6,15.126159,15.101796
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,7,14.161668,14.138155
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,8,13.758654,13.735726
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,9,13.496318,13.466518
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,10,13.649793,13.627702
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,1,46.612424,46.632506
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,2,46.693092,46.715695
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,3,46.220064,46.242955
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,4,45.883134,45.905373
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,5,43.127825,43.148059
