workload_id,axis,scale_value,execution_index,measurement_api,measured_process,capture_point,raw_peak_rss,raw_unit,normalized_peak_rss_bytes,platform,warmup_runs_completed,measured_runs_completed,decision_fingerprint_sha256
S64-REPLAY-EVENTS-00005,replay_events,5,12,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-REPLAY-EVENTS-00010,replay_events,10,15,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-REPLAY-EVENTS-00025,replay_events,25,10,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-REPLAY-EVENTS-00050,replay_events,50,11,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-REPLAY-EVENTS-00100,replay_events,100,16,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,30720,KiB,31457280,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,61176,KiB,62644224,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,44288,KiB,45350912,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,resource.getrusage(resource.RUSAGE_SELF).ru_maxrss,fresh_workload_worker,after_warmups_and_all_measured_replays,45916,KiB,47017984,linux,3,10,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c
