workload_id,axis,scale_value,execution_index,trial,wall_ms,cpu_ms
S64-REPLAY-EVENTS-00005,replay_events,5,12,1,6.70101,7.06733
S64-REPLAY-EVENTS-00005,replay_events,5,12,2,6.553293,6.914067
S64-REPLAY-EVENTS-00005,replay_events,5,12,3,6.326374,6.674639
S64-REPLAY-EVENTS-00005,replay_events,5,12,4,6.47264,6.82928
S64-REPLAY-EVENTS-00005,replay_events,5,12,5,6.105838,6.442005
S64-REPLAY-EVENTS-00005,replay_events,5,12,6,6.250225,6.594724
S64-REPLAY-EVENTS-00005,replay_events,5,12,7,5.982842,6.312545
S64-REPLAY-EVENTS-00005,replay_events,5,12,8,6.675211,7.042928
S64-REPLAY-EVENTS-00005,replay_events,5,12,9,6.469316,6.825281
S64-REPLAY-EVENTS-00005,replay_events,5,12,10,6.290609,6.637252
S64-REPLAY-EVENTS-00010,replay_events,10,15,1,8.752963,9.223407
S64-REPLAY-EVENTS-00010,replay_events,10,15,2,8.662288,9.129346
S64-REPLAY-EVENTS-00010,replay_events,10,15,3,8.903603,9.383636
S64-REPLAY-EVENTS-00010,replay_events,10,15,4,8.654868,9.121749
S64-REPLAY-EVENTS-00010,replay_events,10,15,5,8.804323,9.279118
S64-REPLAY-EVENTS-00010,replay_events,10,15,6,9.032524,9.519626
S64-REPLAY-EVENTS-00010,replay_events,10,15,7,8.807005,9.281676
S64-REPLAY-EVENTS-00010,replay_events,10,15,8,9.712179,10.235715
S64-REPLAY-EVENTS-00010,replay_events,10,15,9,8.68337,9.146746
S64-REPLAY-EVENTS-00010,replay_events,10,15,10,9.136556,9.629285
S64-REPLAY-EVENTS-00025,replay_events,25,10,1,16.970761,17.905254
S64-REPLAY-EVENTS-00025,replay_events,25,10,2,17.419532,18.380894
S64-REPLAY-EVENTS-00025,replay_events,25,10,3,17.043058,17.983769
S64-REPLAY-EVENTS-00025,replay_events,25,10,4,17.083672,18.026626
S64-REPLAY-EVENTS-00025,replay_events,25,10,5,17.387141,18.347024
S64-REPLAY-EVENTS-00025,replay_events,25,10,6,16.803342,17.730718
S64-REPLAY-EVENTS-00025,replay_events,25,10,7,17.516972,18.483558
S64-REPLAY-EVENTS-00025,replay_events,25,10,8,16.547593,17.461011
S64-REPLAY-EVENTS-00025,replay_events,25,10,9,16.622299,17.539719
S64-REPLAY-EVENTS-00025,replay_events,25,10,10,16.845282,17.775128
S64-REPLAY-EVENTS-00050,replay_events,50,11,1,30.598604,32.286221
S64-REPLAY-EVENTS-00050,replay_events,50,11,2,29.028748,30.631516
S64-REPLAY-EVENTS-00050,replay_events,50,11,3,30.067306,31.726339
S64-REPLAY-EVENTS-00050,replay_events,50,11,4,30.227892,31.896955
S64-REPLAY-EVENTS-00050,replay_events,50,11,5,30.375568,32.052775
S64-REPLAY-EVENTS-00050,replay_events,50,11,6,33.26776,35.104391
S64-REPLAY-EVENTS-00050,replay_events,50,11,7,30.763759,32.462327
S64-REPLAY-EVENTS-00050,replay_events,50,11,8,31.326657,33.051986
S64-REPLAY-EVENTS-00050,replay_events,50,11,9,29.804967,31.450763
S64-REPLAY-EVENTS-00050,replay_events,50,11,10,31.516001,33.25607
S64-REPLAY-EVENTS-00100,replay_events,100,16,1,53.676503,56.575372
