workload_id,axis,scale_value,execution_index,warmup_runs,measured_runs,input_bytes,output_bytes,source_artifact_count,replay_event_count,median_wall_ms,p95_wall_ms,mean_wall_ms,wall_cv,median_cpu_ms,p95_cpu_ms,peak_rss_bytes,scale_units_per_second,slowdown_vs_axis_minimum,decision_equivalent,decision_fingerprint_sha256,fixture_scenario_sha256
S64-REPLAY-EVENTS-00005,replay_events,5,12,3,10,7113,69374,15,5,6.397845,6.70101,6.382736,0.036829,6.74996,7.06733,45350912,781.51315,1.0,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-REPLAY-EVENTS-00010,replay_events,10,15,3,10,7113,88114,15,10,8.805664,9.712179,8.914968,0.036133,9.280397,10.235715,45350912,1135.632702,1.376348,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,3222b5cac1fbe8c8152898fc7698b0ef8bfac08326fd10c36662f2bf515cd720
S64-REPLAY-EVENTS-00025,replay_events,25,10,3,10,7113,144334,15,25,17.006909,17.516972,17.023965,0.019649,17.944511,18.483558,45350912,1469.990814,2.658225,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,3eb3fc353bffa3317a6847b4350bc8c268e6da38553c5340ae540376ef9b1466
S64-REPLAY-EVENTS-00050,replay_events,50,11,3,10,7113,238053,15,50,30.487086,33.26776,30.697726,0.037598,32.169498,35.104391,45350912,1640.038671,4.765212,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,9fab7416ac0f27bef5dc5fd5a13a514c01eb2daae31c76df21310e3cbbb986c4
S64-REPLAY-EVENTS-00100,replay_events,100,16,3,10,7113,425503,15,100,54.955365,60.866101,55.27295,0.037106,57.924949,64.155155,45350912,1819.658554,8.589668,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,ff1c811c4a48ababb6372b10897f7ebfe52d66d81d79be434d4742a0c609ccbe
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,3,10,7145,69374,15,5,6.907253,9.263171,7.310589,0.166481,6.907025,9.673855,31457280,289.550709,1.0,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,3,10,45561,69380,15,5,8.312006,9.157525,8.206369,0.082285,8.769916,9.661826,45350912,12030.790161,1.203374,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,3,10,398361,69384,15,5,11.162971,15.324533,11.485331,0.118348,11.778368,16.169535,45350912,89581.886399,1.616123,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,3,10,1966361,69386,15,5,36.323915,42.084079,36.835244,0.056768,38.32936,44.408429,45350912,137650.360651,5.258808,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,3,10,3926361,69388,15,5,86.041244,105.287609,87.235066,0.0858,89.87518,109.97986,62644224,116223.33122,12.456652,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,3,10,7113,69374,15,5,6.448412,7.107172,6.44863,0.052975,6.802544,7.498496,45350912,2326.154098,1.0,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,3,10,10573,116195,25,5,10.436051,18.605775,11.442124,0.239279,10.999178,19.592838,45350912,2395.542145,1.618391,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,c7d434449f5e9a461c91d96e41c2dee26d5d4a6d30e192a618ef6007beabc4c8
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,3,10,19223,233245,50,5,19.996432,21.360408,20.242694,0.02996,21.099234,22.53999,45350912,2500.44608,3.100985,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,3f06b51bf7d505c19731ecb499a2beb3731df21b9f4a28e21767540c94570afe
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,3,10,36523,467346,100,5,38.592194,43.845852,39.546641,0.0566,40.714749,46.258185,45350912,2591.197588,5.984759,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,4ed14c23670021df9738c05fbb1f09538a8173b0ecccc14e850a4760cb886b67
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,3,10,71123,935547,200,5,88.447439,100.298618,89.734267,0.073567,93.311794,105.821303,45350912,2261.229972,13.716158,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,e1347e1e7deff7ae187e956868cdc82bbe9b2e3e3f7bc07df0f71bc93dc6d688
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,3,10,7113,69374,15,5,6.496583,8.422332,6.660324,0.104817,6.853364,8.886111,45350912,153.927072,1.0,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,3,10,10092,94516,15,5,11.003999,12.499821,11.224276,0.066694,11.491582,13.055447,45350912,908.760533,1.693813,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,3,10,39882,345891,15,5,33.54901,38.890374,33.903947,0.056644,35.386627,41.037904,45350912,2980.713887,5.164101,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,3,10,172282,1463093,15,5,195.879161,205.339742,196.605339,0.021959,206.703255,216.665443,45350912,2552.594148,30.151106,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,3,10,337782,2859628,15,5,638.210497,679.167179,606.384066,0.103108,669.666764,715.872086,47017984,1566.881154,98.237873,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
