artifact_id,artifact_type,relative_path,parser,validation_status,size_bytes,source_hash
ART-ASSET-001,asset_context,data/asset_context/ghost_logger_asset.yaml,parse_asset_context,valid,177,82df8a29bf64407d5e849d327aeb9644d6ae96ffd882affa91656e26e0a006a0
ART-DEC-AUTH-001,human_authorization,data/decision_records/ghost_logger_authorization.yaml,read_yaml,valid,270,5ca53728cbdd1313e03b3414ea935f3b4077ad75a0513e9c49965ebab24bc141
ART-DEC-RESOLVE-001,conflict_resolution,data/decision_records/ghost_logger_conflict_resolution.yaml,read_yaml,valid,423,b13c2418f8a4fbbc883fb24b553f29c70e0436f1653e1ae6e5243aad15c745ed
ART-EPSS-001,epss_snapshot,data/epss_snapshots/ghost_logger_epss.json,read_json+extract_percentile,valid,281,9998884a2e667f0571866bace3f389f80c32716731ca80a8eba7f8ef39770c65
ART-KEV-001,kev_snapshot,data/kev_snapshots/ghost_logger_kev.json,read_json+kev_entry,valid,667,de0240bb72ee121def66cfc715ea791216209f232dfba2e6e63a0ff099b52eaf
ART-MIT-INITIAL-001,mitigation_context,data/mitigation/ghost_logger_initial.yaml,parse_asset_context,valid,117,0e4cb7d8a9a4f203c08716654c4c7bda9fbfae34fc34580bcd7af87f15c29436
ART-MIT-VERIFIED-001,mitigation_context,data/mitigation/ghost_logger_verified.yaml,parse_asset_context,valid,137,611950bdebbedb8aeec931d99cb13ee23128bf729fc8627eb2740d795a8894d8
ART-OSV-001,osv_snapshot,data/osv_snapshots/ghost_logger_osv.json,read_json+cve_aliases,valid,555,6eaefe127350a2c5d84e0a190a202e10ea4d3b2bd80827dceefa8ac8f9dcf608
ART-SBOM-001,cyclonedx_sbom,data/sbom/ghost_logger.cdx.json,parse_cyclonedx,valid,1482,2886444d34e5bdbab43b693b79fa431b2d241995d992921056ddc481bf509930
ART-SUB-EARLY-001,milestone_satisfaction,data/decision_records/ghost_logger_early_warning_submission.yaml,read_yaml,valid,214,354a31dbf2c71f2d77f37f6e87f146d9da54c0f7b41c8a6825bcee73d9a49a86
ART-SUB-FULL-001,milestone_satisfaction,data/decision_records/ghost_logger_full_notification_submission.yaml,read_yaml,valid,217,7fd611cd8b2bba1da65429cde7c391c34e5373c57755fdb5d62ffbb23f463cea
ART-TELEM-EXEC-001,runtime_telemetry,data/telemetry/ghost_logger_execution.jsonl,parse_telemetry,valid,352,9cf4eff003537200bd8af6dc963e717abf57dd5621bfbd0a2f4b4638cd41ff1e
ART-TELEM-INITIAL-001,runtime_telemetry,data/telemetry/ghost_logger_initial.jsonl,parse_telemetry,valid,308,326a00ed02b491da7dbe5df5b0ac24d46ccf1022bb349fb525177d5c15f23d12
ART-TELEM-REPRO-001,runtime_telemetry,data/telemetry/ghost_logger_reproduction.jsonl,parse_telemetry,valid,347,aaf2a2a0e522b22f8139a8ffad1b81625cc168f0cf0eeb59c89298211f43a0dd
ART-VEX-001,csaf_vex,data/csaf/ghost_logger_vex.json,parse_csaf,valid,1566,cec6befa9db56d65345bf52bda4a8efebd88791abcc33d9ae0f8f07b4cb2384b
