scenario_id,profile_id,threshold_offset,event_count,state_change_count,state_stability_ratio
ghost_logger,threshold_minus_0_10,-0.1,5,0,1.0
ghost_logger,threshold_minus_0_05,-0.05,5,0,1.0
ghost_logger,threshold_baseline,0.0,5,0,1.0
ghost_logger,threshold_plus_0_05,0.05,5,0,1.0
ghost_logger,threshold_plus_0_10,0.1,5,3,0.4
false_comfort,threshold_minus_0_10,-0.1,4,1,0.75
false_comfort,threshold_minus_0_05,-0.05,4,0,1.0
false_comfort,threshold_baseline,0.0,4,0,1.0
false_comfort,threshold_plus_0_05,0.05,4,0,1.0
false_comfort,threshold_plus_0_10,0.1,4,3,0.25
false_comfort_control,threshold_minus_0_10,-0.1,1,0,1.0
false_comfort_control,threshold_minus_0_05,-0.05,1,0,1.0
false_comfort_control,threshold_baseline,0.0,1,0,1.0
false_comfort_control,threshold_plus_0_05,0.05,1,0,1.0
false_comfort_control,threshold_plus_0_10,0.1,1,0,1.0
operational_outlier,threshold_minus_0_10,-0.1,4,1,0.75
operational_outlier,threshold_minus_0_05,-0.05,4,0,1.0
operational_outlier,threshold_baseline,0.0,4,0,1.0
operational_outlier,threshold_plus_0_05,0.05,4,0,1.0
operational_outlier,threshold_plus_0_10,0.1,4,0,1.0
operational_outlier_control,threshold_minus_0_10,-0.1,2,0,1.0
operational_outlier_control,threshold_minus_0_05,-0.05,2,0,1.0
operational_outlier_control,threshold_baseline,0.0,2,0,1.0
operational_outlier_control,threshold_plus_0_05,0.05,2,0,1.0
operational_outlier_control,threshold_plus_0_10,0.1,2,0,1.0
rapid_pivot,threshold_minus_0_10,-0.1,6,0,1.0
rapid_pivot,threshold_minus_0_05,-0.05,6,0,1.0
rapid_pivot,threshold_baseline,0.0,6,0,1.0
rapid_pivot,threshold_plus_0_05,0.05,6,3,0.5
rapid_pivot,threshold_plus_0_10,0.1,6,6,0.0
rapid_pivot_control,threshold_minus_0_10,-0.1,6,0,1.0
rapid_pivot_control,threshold_minus_0_05,-0.05,6,0,1.0
rapid_pivot_control,threshold_baseline,0.0,6,0,1.0
rapid_pivot_control,threshold_plus_0_05,0.05,6,1,0.833333
rapid_pivot_control,threshold_plus_0_10,0.1,6,6,0.0
