workload_id,axis,scale_value,execution_index,warmup_runs,measured_runs,input_bytes,output_bytes,source_artifact_count,replay_event_count,median_wall_ms,p95_wall_ms,mean_wall_ms,wall_cv,median_cpu_ms,p95_cpu_ms,peak_rss_bytes,scale_units_per_second,slowdown_vs_axis_minimum,decision_equivalent,decision_fingerprint_sha256,fixture_scenario_sha256
S64-REPLAY-EVENTS-00005,replay_events,5,12,3,10,7113,69374,15,5,7.978502,8.813645,8.038301,0.040035,7.942196,8.773009,45350912,626.684057,1.0,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-REPLAY-EVENTS-00010,replay_events,10,15,3,10,7113,88114,15,10,12.234455,12.519916,12.012853,0.03691,12.159981,12.443297,45350912,817.363749,1.533428,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,3222b5cac1fbe8c8152898fc7698b0ef8bfac08326fd10c36662f2bf515cd720
S64-REPLAY-EVENTS-00025,replay_events,25,10,3,10,7113,144334,15,25,21.666861,22.392438,21.549982,0.023612,21.585428,22.307889,45350912,1153.835805,2.715655,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,3eb3fc353bffa3317a6847b4350bc8c268e6da38553c5340ae540376ef9b1466
S64-REPLAY-EVENTS-00050,replay_events,50,11,3,10,7113,238053,15,50,38.317054,40.650589,38.295075,0.029311,38.168956,40.48591,45350912,1304.90199,4.802537,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,9fab7416ac0f27bef5dc5fd5a13a514c01eb2daae31c76df21310e3cbbb986c4
S64-REPLAY-EVENTS-00100,replay_events,100,16,3,10,7113,425503,15,100,73.048334,75.089451,72.722588,0.024533,72.585235,74.618678,45350912,1368.956614,9.155645,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,ff1c811c4a48ababb6372b10897f7ebfe52d66d81d79be434d4742a0c609ccbe
S64-SBOM-COMPONENTS-00002,sbom_components,2,1,3,10,7145,69374,15,5,8.430782,11.47946,8.943911,0.133654,8.337375,10.658006,31457280,237.225918,1.0,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-00100,sbom_components,100,9,3,10,45561,69380,15,5,8.682509,9.455191,8.738873,0.044064,8.654427,9.42495,45350912,11517.408159,1.029858,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,3,10,398361,69384,15,5,13.794462,19.360955,14.453271,0.124566,13.770294,19.329678,45350912,72492.859816,1.636202,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,3,10,1966361,69386,15,5,46.051599,46.693092,45.78521,0.023346,46.074164,46.715695,45350912,108573.862984,5.462316,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,3,10,3926361,69388,15,5,84.916126,91.073499,85.201361,0.033282,87.124217,93.458263,59883520,117763.262069,10.072153,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,3,10,7113,69374,15,5,8.150033,8.499097,8.146361,0.027906,8.129701,8.477712,45350912,1840.483345,1.0,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,10e89f37dd8210620b4ab98f5edd59f28e6c6e847edf6fdb0df35c2516f5dec4
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,3,10,10573,116195,25,5,12.991762,14.563657,13.14923,0.045459,12.905804,14.466782,45350912,1924.296335,1.594075,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,c7d434449f5e9a461c91d96e41c2dee26d5d4a6d30e192a618ef6007beabc4c8
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,3,10,19223,233245,50,5,25.013247,26.199886,25.074099,0.024564,24.973985,26.158586,45350912,1998.940801,3.069098,True,6d2cfda4e18c62d6f48215659326119a8f802f86f692609718ea535f43d3821c,3f06b51bf7d505c19731ecb499a2beb3731df21b9f4a28e21767540c94570afe
